City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Khani,GE,41.9563,42.9566,62.17,92,78,1.68,broken clouds
78,Torbat-E Jam,IR,35.244,60.6225,72.54,19,0,15.41,clear sky
79,Kyra,RU,49.5776,111.9753,56.8,82,1,2.93,clear sky
80,Chumikan,RU,54.7183,135.315,50.23,87,100,4.74,overcast clouds
81,Tawau,MY,4.2498,117.8871,78.33,88,34,3.42,scattered clouds
82,Fortuna,US,40.5982,-124.1573,92.19,83,40,14.97,scattered clouds
83,Roald,NO,62.5833,6.1333,57.16,82,90,17.27,light intensity drizzle
84,Lebu,CL,-37.6167,-73.65,47.57,85,2,14.09,clear sky
85,Shahrud,IR,36.4182,54.9763,71.74,43,31,5.57,scattered clouds
86,Padilla,CO,3.2204,-76.3139,77.56,72,66,1.3,broken clouds
87,Cape Town,ZA,-33.9258,18.4232,55.89,94,76,1.01,broken clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,50.13,28,42,10.0,scattered clouds
89,Saint George,US,37.1041,-113.5841,95.47,35,1,20.71,clear sky
90,Port-Cartier,CA,50.0334,-66.8654,65.93,63,94,9.35,overcast clouds
91,Salinopolis,BR,-0.6136,-47.3561,77.43,86,31,11.65,scattered clouds
92,Peniche,PT,39.3558,-9.3811,63.88,85,26,13.85,scattered clouds
93,Vaini,TO,-21.2,-175.2,78.96,73,20,26.46,few clouds
94,Arraial Do Cabo,BR,-22.9661,-42.0278,66.87,62,95,12.21,overcast clouds
95,Nuevo Progreso,MX,23.1667,-97.95,88.47,61,48,12.93,scattered clouds
96,Aitape,PG,-3.1374,142.3475,81.88,74,47,2.04,scattered clouds
97,Chuy,UY,-33.6971,-53.4616,47.68,92,0,4.72,clear sky
98,Vardo,NO,70.3705,31.1107,48.33,92,99,10.76,overcast clouds
99,Mercedes,AR,-34.6515,-59.4307,51.89,63,15,2.48,few clouds
100,Yarim,YE,14.298,44.3779,58.64,72,20,2.44,few clouds
101,Mitsamiouli,KM,-11.3847,43.2844,76.68,69,0,8.14,clear sky
102,Winnemucca,US,40.973,-117.7357,84.25,34,90,9.22,overcast clouds
103,Cherskiy,RU,68.75,161.3,41.38,92,100,13.98,light rain
104,Vila,PT,42.0304,-8.1588,52.93,95,93,1.07,overcast clouds
105,Ribeira Grande,PT,38.5167,-28.7,71.69,84,45,6.76,scattered clouds
106,Barrow,US,71.2906,-156.7887,50.02,94,90,17.27,light rain
107,Chapais,CA,49.7834,-74.8492,60.03,51,52,9.51,broken clouds
108,Clearwater,US,27.9659,-82.8001,90.25,69,1,4.0,clear sky
109,Husavik,IS,66.0449,-17.3389,53.67,72,85,2.55,overcast clouds
110,Mashhad,IR,36.297,59.6062,71.74,33,0,4.61,clear sky
111,West Helena,US,34.5507,-90.6418,94.68,49,95,4.25,overcast clouds
112,Anadyr,RU,64.75,177.4833,48.7,57,20,5.99,few clouds
113,Tomatlan,MX,19.9333,-105.25,84.15,73,74,3.94,broken clouds
114,Tonj,SS,7.2737,28.6822,69.37,94,95,2.71,overcast clouds
115,Birin,NP,26.8865,88.0718,63.61,93,87,2.3,overcast clouds
116,Pevek,RU,69.7008,170.3133,36.81,78,94,8.37,overcast clouds
117,Vuktyl,RU,63.8567,57.3094,58.98,96,100,10.63,overcast clouds
118,Souillac,MU,-20.5167,57.5167,69.37,81,12,12.71,few clouds
119,Biltine,TD,14.5333,20.9167,83.37,62,79,11.14,broken clouds
120,Zaragoza,ES,41.6561,-0.8773,63.12,59,0,15.01,clear sky
121,Butaritari,KI,3.0707,172.7902,81.86,75,43,9.01,scattered clouds
122,Matara,LK,5.9485,80.5353,77.5,88,49,10.11,scattered clouds
123,Tabou,CI,4.423,-7.3528,76.33,86,97,10.07,light rain
124,Betioky,MG,-23.7167,44.3833,63.48,60,0,10.54,clear sky
125,Morgan City,US,29.6994,-91.2068,90.0,94,75,3.44,broken clouds
126,Belaya Gora,RU,68.5333,146.4167,42.44,70,100,23.82,overcast clouds
127,Lavrentiya,RU,65.5833,-171.0,43.02,86,100,7.36,overcast clouds
128,Yellowknife,CA,62.456,-114.3525,83.28,45,24,11.01,few clouds
129,Yarmouth,US,41.7057,-70.2286,72.45,62,1,8.99,clear sky
130,Adrar,MR,20.5022,-10.0711,88.18,43,68,24.49,broken clouds
131,Hun,LY,29.1268,15.9477,87.94,16,0,7.05,clear sky
132,Laguna,US,38.421,-121.4238,104.22,28,1,5.99,clear sky
133,Dikson,RU,73.5069,80.5464,43.23,99,100,13.47,light rain
134,Estelle,US,29.8458,-90.1067,90.0,77,1,3.44,clear sky
135,Zhanakorgan,KZ,43.9098,67.2495,77.67,26,1,13.09,clear sky
136,Margate,GB,51.3813,1.3862,62.31,90,50,1.99,scattered clouds
137,Gumdag,TM,39.2061,54.5906,83.21,11,9,11.1,clear sky
138,Nemuro,JP,43.3236,145.575,65.12,98,100,16.64,overcast clouds
139,Auki,SB,-8.7676,160.7034,79.52,80,100,5.61,light rain
140,Kendari,ID,-3.945,122.4989,75.09,93,87,2.77,overcast clouds
141,Tessalit,ML,20.1986,1.0114,91.08,33,46,11.56,scattered clouds
142,Muros,ES,42.7762,-9.0603,63.84,84,90,1.83,overcast clouds
143,Bilibino,RU,68.0546,166.4372,48.74,53,93,4.74,overcast clouds
144,Gamba,GA,-2.65,10.0,72.48,82,4,4.25,clear sky
145,Mahibadhoo,MV,3.7833,72.9667,81.59,76,94,9.24,overcast clouds
146,San Juan De Los Morros,VE,9.9115,-67.3538,71.87,95,45,1.92,light rain
147,Kristiansund,NO,63.1115,7.732,53.65,82,90,12.66,overcast clouds
148,Georgetown,MY,5.4112,100.3354,78.73,92,20,3.44,few clouds
149,Vestmannaeyjar,IS,63.4427,-20.2734,53.73,92,99,4.25,light rain
150,San Joaquin,US,37.9333,-121.3011,100.54,27,1,9.22,clear sky
151,Tucuman,AR,-26.8241,-65.2226,56.75,36,10,3.91,clear sky
152,Angoche,MZ,-16.2325,39.9086,73.04,76,30,12.15,scattered clouds
153,Sao Jose Do Rio Pardo,BR,-21.5956,-46.8886,58.73,41,45,5.28,scattered clouds
154,Kaputa,ZM,-8.4689,29.6619,66.33,53,1,6.71,clear sky
155,Hilo,US,19.7297,-155.09,83.93,67,1,12.66,clear sky
156,Coihaique,CL,-45.5752,-72.0662,33.75,80,0,0.0,clear sky
157,Den Helder,NL,52.9599,4.7593,63.99,88,90,7.0,overcast clouds
