City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Geraldton,AU,61.21,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
239,Kushtagi,IN,71.29,overcast clouds,15.7667,76.2,ಶ್ರೀ ರಾಮ್ ಫಿಶ್ ಆಕ್ವ್ ರಿಯಂ ಕುಷ್ಟಗಿ
240,Hobyo,SO,75.7,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
243,Hofn,IS,51.01,few clouds,64.2539,-15.2082,Hótel Höfn
245,Iqaluit,CA,50.7,broken clouds,63.7506,-68.5145,Frobisher Inn
246,Shimorskoye,RU,61.0,broken clouds,55.3244,42.0267,Eksport Agentstvo
247,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
248,Lumphat,KH,73.02,overcast clouds,13.4878,106.9816,Lumphat Homestay
249,Cairns,AU,76.95,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
250,San Quintin,MX,75.79,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
254,Korla,CN,70.56,overcast clouds,41.7597,86.1469,Gulisitan Hotel
255,Greece,US,71.67,broken clouds,43.2098,-77.6931,"Homewood Suites by Hilton Rochester/Greece, NY"
256,Lagoa,PT,70.66,overcast clouds,39.05,-27.9833,Casa Das Faias
259,Marienburg,PL,64.89,few clouds,54.0359,19.0266,Hotel Centrum Malbork
260,Khash,IR,77.23,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
263,Constantine,DZ,79.9,overcast clouds,36.365,6.6147,Grand Hotel Cirta
265,Faanui,PF,78.03,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
268,Sopelana,ES,60.08,few clouds,43.3789,-2.9831,Hotel Modus Vivendi
270,Novyy Urengoy,RU,50.72,broken clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
272,Chipinge,ZW,50.23,scattered clouds,-20.1883,32.6236,Chipinge Breeze Lodge
273,Isangel,VU,72.52,clear sky,-19.55,169.2667,Tanna Lodge
275,Carutapera,BR,75.13,scattered clouds,-1.195,-46.02,Lidera
276,Port Macquarie,AU,64.36,clear sky,-31.4333,152.9167,Rydges Port Macquarie
277,Porto Santo,PT,70.18,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
279,Axim,GH,76.01,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
281,Koungou,YT,76.71,broken clouds,-12.7336,45.2042,Villa Netibor
282,Nuuk,GL,52.41,broken clouds,64.1835,-51.7216,Vandrehuset
283,Sandwick,GB,51.62,overcast clouds,60.0,-1.25,Beach House Self-Catering Accomodation
284,Asau,RO,74.32,few clouds,46.4333,26.4,Casa Mika Ciobanus
285,Longhua,CN,79.74,light rain,23.6137,114.1919,Huadu Hotel
288,Arroyo,ES,59.22,scattered clouds,41.6096,-4.7969,Hotel El Jardín de la Abadía
289,Meulaboh,ID,74.82,light rain,4.1363,96.1285,Kost Pria
293,Llangefni,GB,59.11,overcast clouds,53.2556,-4.3106,Bull Hotel
294,Chengde,CN,68.49,scattered clouds,40.9725,117.9361,Super 8 Hotel
295,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,Casa Tia Villa
297,Vila Velha,BR,62.55,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
299,Dasoguz,TM,69.75,clear sky,41.8363,59.9666,Ташауз Отел
301,Inirida,CO,71.42,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
302,Markala,ML,78.53,broken clouds,13.7021,-6.0659,Famille Abdoulaye Bana DIALLO
304,Hervey Bay,AU,71.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
306,Lata,PT,59.05,few clouds,40.1629,-8.3327,Casa Maquia
307,Hambantota,LK,78.91,broken clouds,6.1241,81.1185,Bungalow 63
308,Neepawa,CA,75.81,clear sky,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
309,Saurimo,AO,58.84,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
311,San Felipe,VE,74.28,light rain,10.3399,-68.7425,Posada Llovizna Rodríguez
313,Popondetta,PG,79.32,broken clouds,-8.7537,148.2534,Timos Transit House
317,Hamilton,US,74.95,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
323,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
325,Coquimbo,CL,51.53,clear sky,-29.9533,-71.3436,Punto de encuentro
326,Punta De Bombon,PE,61.32,scattered clouds,-17.1717,-71.7931,Hotel Bedregal
327,Loukhi,RU,51.37,overcast clouds,66.0764,33.0381,Хостел Северяночка
328,Mbandaka,CD,76.59,overcast clouds,0.0487,18.2603,Guest House Epervier
329,Little Current,CA,61.41,overcast clouds,45.9793,-81.9248,Hawberry Motel
330,Polewali,ID,75.97,overcast clouds,-3.4324,119.3435,Lilianto Hotel
331,Sao Sebastiao,BR,58.55,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
332,Resavica,RS,71.22,scattered clouds,44.0408,21.5816,Hotel Đula
334,Tamale,GH,72.52,overcast clouds,9.4008,-0.8393,Tap Hotel
335,Clarksburg,US,76.73,clear sky,39.2807,-80.3445,Greenbrier Motel & Restaurant
337,Natal,BR,79.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
338,Havre-Saint-Pierre,CA,58.21,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
339,Dauphin,CA,78.08,clear sky,51.1494,-100.0502,Canway Inn & Suites
340,Naze,JP,79.56,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
343,Ovalle,CL,63.55,scattered clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
344,Bambari,CF,70.29,moderate rain,5.768,20.6757,Hotel-Restaurant BIBICH
345,Parana,AR,57.56,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
346,San Matias,BO,74.32,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
347,Irbeyskoye,RU,56.03,overcast clouds,55.6428,95.4522,"Gostinitsa ""Agul"""
349,Alofi,NU,78.17,moderate rain,-19.0595,-169.9187,Taloa Heights
355,Pombas,CV,73.42,overcast clouds,17.1503,-25.0201,Paul Paradis
357,Saryozek,KZ,58.59,clear sky,44.3583,77.9753,Gostinitsa
358,Aqtobe,KZ,62.69,clear sky,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
359,Rutana,BI,56.66,scattered clouds,-3.8667,30.1,Failles des Allemands
361,Orlik,RU,54.77,light rain,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
364,Banda Aceh,ID,79.99,overcast clouds,5.5577,95.3222,Sulthan Hotel International
366,Nuevo Imperial,PE,64.29,few clouds,-13.0754,-76.3172,Hotel Konford
369,Betare Oya,CM,67.03,light rain,5.6,14.0833,Auberge Tembina Betaré Oya
375,Lugovoy,KZ,66.25,broken clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
376,Nanga Eboko,CM,68.99,overcast clouds,4.6833,12.3667,Motel Papi Palace
378,Boddam,GB,53.71,overcast clouds,57.4667,-1.7833,Palace Hotel
379,Khandyga,RU,66.97,clear sky,62.6667,135.6,Apel'sin
380,Mamburao,PH,79.7,overcast clouds,13.25,120.6667,UPPER(tii)
381,Artigas,UY,51.22,clear sky,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
383,Mozarlandia,BR,79.61,scattered clouds,-14.7447,-50.5706,Hotel Santa Mônica
385,Krasnoufimsk,RU,62.69,overcast clouds,56.6059,57.7669,Gostinitsa
387,Saldanha,ZA,58.14,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
388,Great Yarmouth,GB,59.95,scattered clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
390,Luwuk,ID,78.13,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
391,Sai Buri,TH,76.82,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
392,Taltal,CL,62.08,few clouds,-25.4,-70.4833,Residencial Karime
393,Cascais,PT,64.47,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
396,Kalemie,CD,69.57,clear sky,-5.9475,29.1947,Mahobilali
398,Sambava,MG,66.65,clear sky,-14.2667,50.1667,Melrose
401,Plettenberg Bay,ZA,60.55,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
402,Vologda,RU,56.59,clear sky,59.2187,39.8886,Gostinitsa Vologdy Sputnik
403,Sokoni,TZ,75.72,light rain,-6.4333,39.55,Ujamaa Beach Resort
405,Winneba,GH,74.73,few clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
407,Bulgan,MN,56.03,broken clouds,48.8125,103.5347,Unitel Булган салбар
408,Santa Cruz,BO,73.45,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
409,Yinchuan,CN,72.77,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
410,Khorinsk,RU,58.06,clear sky,52.1657,109.7726,Uda
411,Hohhot,CN,63.19,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
414,Buchanan,LR,75.92,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
415,Huadian,CN,75.52,broken clouds,42.9633,126.7478,Huadian Forestry Bureau
416,Yabrud,SY,66.52,clear sky,33.9674,36.6574,المنزل
424,Temiscaming,CA,59.49,overcast clouds,46.7212,-79.0971,Auberge Canadienne
426,Urumqi,CN,65.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
430,Erzin,TR,79.52,clear sky,36.9559,36.2,Artemis Otel
431,Lazi,UA,63.63,scattered clouds,48.0667,24.2333,Olenka
433,Sao Filipe,CV,75.81,broken clouds,14.8961,-24.4956,Hotel Xaguate
436,Nyanza,RW,62.58,broken clouds,-2.3519,29.7509,New Life Motel
437,Fatsa,TR,71.4,clear sky,41.0278,37.5014,Yalcin Resort Hotel
438,Nizhniy Kuranakh,RU,57.83,overcast clouds,58.8353,125.4869,Park Pobedy
439,Killybegs,IE,55.45,overcast clouds,54.6333,-8.45,Tara Hotel
440,Semey,KZ,68.45,broken clouds,50.4111,80.2275,Grand Hotel Semey
441,Itarema,BR,78.73,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
442,Along,IN,73.87,overcast clouds,28.1667,94.7667,Hotel West
446,Albion,US,76.19,scattered clouds,42.2431,-84.753,Days Inn by Wyndham Albion
447,Loandjili,CG,71.96,clear sky,-4.7561,11.8578,Résidence ARCHANGE
449,Saint-Francois,FR,58.17,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
450,Faya,SA,61.32,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
451,Aleksandrov Gay,RU,76.08,scattered clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
452,Sola,VU,77.18,overcast clouds,-13.8833,167.55,Leumerus Bungalows
453,Atasu,KZ,70.88,clear sky,48.6814,71.6433,Dostyk
455,Tieling,CN,74.88,broken clouds,42.2931,123.8414,Tieling 99 Yuejia Business Guest House
457,Boguchany,RU,58.57,overcast clouds,58.3814,97.4531,Uyut
458,Erenhot,CN,62.2,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
459,San Julian,MX,69.78,broken clouds,21.0167,-102.1667,La Nueva España
460,Neryungri,RU,50.94,overcast clouds,56.6709,124.6491,Pyat' Zvozd
461,San Ramon De La Nueva Oran,AR,61.43,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
462,Dunedin,NZ,52.81,moderate rain,-45.8742,170.5036,Scenic Hotel Southern Cross
464,Pangai,TO,75.99,light rain,-19.8,-174.35,Ha'apai Beach Resort
466,Machachi,EC,65.7,broken clouds,-0.5,-78.5667,Hotel - Casa del Montañero - Bed & Breakfast - Hostel - Machachi / Cotopaxi
467,Richmond Hill,CA,61.02,overcast clouds,43.8711,-79.4372,Travelodge by Wyndham Richmond Hill
471,Yulara,AU,53.44,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
474,Arrifes,PT,70.05,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
476,Oga,IT,53.64,light rain,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
478,Ust-Tsilma,RU,55.94,overcast clouds,65.441,52.1498,U Praskov'i
479,Fare,PF,77.29,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
481,Goderich,CA,73.9,overcast clouds,43.7501,-81.7165,Harmony Inn
482,Buta,CD,68.7,light rain,2.7858,24.73,HOTEL BISO NA BISO
484,Turayf,SA,79.27,clear sky,31.6725,38.6637,Turaif
485,Ruhengeri,RW,61.12,overcast clouds,-1.4998,29.635,Relay's Gorillas Hotel
488,Aklavik,CA,78.44,overcast clouds,68.2191,-135.0107,Aklavik Inn
490,Prince Rupert,CA,59.09,mist,54.3161,-130.3201,Crest Hotel
492,Port Hardy,CA,65.77,broken clouds,50.6996,-127.4199,Airport Inn
493,Dubbo,AU,59.13,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
494,Port Hedland,AU,57.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
497,Kapit,MY,73.2,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
498,Bertoua,CM,67.23,light rain,4.5833,13.6833,Hotel De Paris
500,Kiunga,PG,76.01,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
501,Rumford,US,71.2,few clouds,44.5537,-70.5509,coastal rentals llc
502,Blankenberge,BE,61.99,scattered clouds,51.3131,3.1323,Hotel Concordia
503,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
504,Voznesenye,RU,57.67,few clouds,61.0106,35.4781,Guesthouse Jakornaya
505,Krasnoselkup,RU,50.38,scattered clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
506,Nizhniy Ingash,RU,56.3,overcast clouds,56.2,96.53,Gostinitsa Bayazet
507,Manta,EC,73.24,broken clouds,-0.95,-80.7333,Balandra Hotel
508,Miajadas,ES,64.78,clear sky,39.1513,-5.9084,Hotel Triana
510,Batemans Bay,AU,59.09,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
512,Wabash,US,77.41,overcast clouds,40.7978,-85.8205,"Holiday Inn Express & Suites Wabash, an IHG Hotel"
513,Zhangjiakou,CN,66.29,broken clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
514,Balikpapan,ID,77.99,light rain,-1.2675,116.8289,ibis Balikpapan
518,San Isidro,PE,63.01,overcast clouds,-12.1167,-77.05,Soul Mate-Inn
519,Zawiercie,PL,67.57,broken clouds,50.4877,19.4168,Hotel Villa Verde 4*
522,Praia Da Vitoria,PT,73.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
523,Allapalli,IN,75.16,overcast clouds,19.4167,80.0667,Hotel IK Residency
525,Nacala,MZ,68.92,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
526,Pathein,MM,78.49,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
527,Donetsk,UA,74.73,scattered clouds,48.0,37.8,Park Inn by Radisson Donetsk
528,Namanyere,TZ,61.36,clear sky,-7.5167,31.05,Manyovu Lodge
529,Moron,AR,54.99,scattered clouds,-34.6534,-58.6198,Hotel Morón
532,Altamira,BR,73.36,broken clouds,-3.2033,-52.2064,Requinte Hotel
